BankName,BankId,Currency,BuyRate,SellRate,BbBuyRate,BbSellRate
Bank Asia Ltd.,10,GBP,101.94,112.82,108.973,107.9898
The Premier Bank Ltd.,35,GBP,105.8781,109.9604,108.973,107.9898
Mutual Trust Bank Ltd.,21,GBP,109.6056,113.6056,108.973,107.9898
FSIBL,44,GBP,106.2142,111.1727,108.973,107.9898
Trust Bank Ltd.,36,GBP,108.38,112.38,108.973,107.9898
Standard Chartered Bank,53,GBP,107.56,111.86,108.973,107.9898
Habib Bank Ltd.,50,GBP,111.09,116.09,108.973,107.9898
Commercial Bank of Ceylon,49,GBP,105.7039,111.4886,108.973,107.9898
State Bank of India,54,GBP,115,119,108.973,107.9898
Woori Bank,55,GBP,-,-,108.973,107.9898
Bank Alfalah Limited,47,GBP,-,-,108.973,107.9898
Citi Bank N.A.,64,GBP,115,118,108.973,107.9898
HSBC,51,GBP,106.5532,109.7642,108.973,107.9898
Jamuna Bank Ltd.,17,GBP,112,115,108.973,107.9898
Brac Bank Limited,8,GBP,108.9539,113.336,108.973,107.9898
Shahjalal Islami Bank Ltd.,43,GBP,110.27,113.27,108.973,107.9898
NRB Commercial Bank Ltd.,25,GBP,110.5,113.5,108.973,107.9898
Midland Bank Limited,19,GBP,108.6596,113.9531,108.973,107.9898
Modhumoti Bank Limited,20,GBP,105.059,110.688,108.973,107.9898
NRB Global Bank Limited,26,GBP,106.5,110.5,108.973,107.9898
Union Bank Limited,45,GBP,,,108.973,107.9898
Janata Bank Limited,57,GBP,107.9,110.8,108.973,107.9898
Social Islami Bank Ltd.,42,GBP,-,-,108.973,107.9898
National Bank of Pakistan,52,GBP,-,-,108.973,107.9898
SBACBL,30,JPY,      -,      -,0.77,0.7468
NRB Bank Ltd.,24,JPY,      -,      -,0.77,0.7468
The Farmers Bank Limited,34,JPY,      -,      -,0.77,0.7468
Meghna Bank Ltd.,9,JPY,      -,      -,0.77,0.7468
Agrani Bank Limited,58,JPY,0.67,0.75,0.77,0.7468
Pubali Bank Limited,29,JPY,0.65,0.73,0.77,0.7468
Rupali Bank Limited,59,JPY,      -,      -,0.77,0.7468
Sonali Bank Limited,56,JPY,0.7185,0.7415,0.77,0.7468
Uttara Bank Limited,38,JPY,      -,      -,0.77,0.7468
Bangladesh Krishi Bank,63,JPY,      -,      -,0.77,0.7468
BDBL,61,JPY,      -,      -,0.77,0.7468
AB Bank Ltd.,13,JPY,      -,      -,0.77,0.7468
